region,population_imputed_region
Arusha,262.31740818154674
Dar es Salaam,240.84347826086957
Dodoma,
Iringa,120.88305084745762
Kagera,
Kigoma,505.8100538599641
Kilimanjaro,105.74788764558119
Lindi,364.4049159120311
Manyara,317.77826910928616
Mara,538.794311833418
Mbeya,
Morogoro,264.62556165751374
Mtwara,267.4416184971098
Mwanza,552.0708446866485
Pwani,349.61883067577827
Rukwa,375.5587734241908
Ruvuma,241.79061205706395
Shinyanga,428.359756097561
Singida,279.389287422286
Tabora,
Tanga,246.75382803297998
